id,title,year,imdb_id,tmdb_id
1691079,Jeanne du Barry,2023,tt17277414,921452
1421062,The Stepford Wives,2004,tt0327162,9890
1413903,The Prophecy,1995,tt0114194,11980
1411410,The Parallax View,1974,tt0071970,17365
1408080,The Monster Squad,1987,tt0093560,13509
1359251,Star Trek III: The Search for Spock,1984,tt0088170,157
1127663,Extract,2009,tt1225822,12569
168028,Carriers,2009,tt0806203,25769
130351,Annie,2014,tt1823664,196867
1556700,The Night Clerk,2020,tt7979142,526007
1501028,Joe Bell,2020,tt4651466,552269
1419900,The Smurfs 2,2013,tt2017020,77931
1170569,House at the End of the Street,2012,tt1582507,82505
1407268,The Mexican,2001,tt0236493,6073
1395666,The Grifters,1990,tt0099703,18129
1136336,Flypaper,2011,tt1541160,62046
1612438,Paranormal Activity: Next of Kin,2021,tt10515988,609972
1393271,The General's Daughter,1999,tt0144214,2275
1219982,Lake Placid,1999,tt0139414,9825
1565142,Clifford the Big Red Dog,2021,tt2397461,585245
1124570,Escape from L.A.,1996,tt0116225,10061
1633242,Apartment 7A,2024,tt14371860,807339
1413509,The Prince & Me,2004,tt0337697,11137
1194978,Judgment Night,1993,tt0107286,6
186254,Cursed,2005,tt0257516,10012
1295168,Paranormal Activity: The Ghost Dimension,2015,tt2473510,146301
1140329,Friday the 13th Part III,1982,tt0083972,9728
1372717,Teen Wolf,1985,tt0090142,11824
1359253,Star Trek V: The Final Frontier,1989,tt0098382,172
1230157,Like Water for Chocolate,1992,tt0103994,18183
1190304,Friday the 13th Part VI: Jason Lives,1986,tt0091080,10225
1157218,Halloween III: Season of the Witch,1982,tt0085636,10676
1110131,Dracula 2000,2000,tt0219653,10577
1259743,Monster Trucks,2016,tt3095734,262841
1258921,Mommie Dearest,1981,tt0082766,15660
1140332,Friday the 13th: A New Beginning,1985,tt0089173,9731
1140331,Friday the 13th Part VIII: Jason Takes Manhattan,1989,tt0097388,10283
1684947,Good Boy,2022,tt19705884,983507
1627294,Sir Alex Ferguson: Never Give In,2021,tt8999372,790850
1387308,The Devil Inside,2012,tt1560985,76487
1443561,Twisted,2004,tt0315297,13572
147314,Below,2002,tt0276816,12590
1151121,Good Burger,1997,tt0119215,14817
1140330,Friday the 13th Part VII: The New Blood,1988,tt0095179,10281
1677127,80 for Brady,2023,tt18079362,942922
1635354,Pet Sematary: Bloodlines,2023,tt14145436,830764
1299859,Pet Sematary II,1992,tt0105128,10906
159789,Breaking In,2018,tt7137846,497814
14275,6 Days,2017,tt4703048,347984
1675925,Smurfs,2025,tt18069420,936108
1791213,Stans,2025,tt31313835,1244999
1401492,The Last Exorcism Part II,2013,tt2034139,146203
1348911,Single White Female,1992,tt0105414,9605
125592,American Gigolo,1980,tt0080365,2768
1609986,PAW Patrol: The Movie,2021,tt11832046,675445
1538163,Finestkind,2023,tt7991508,507532
1663144,American Psycho II: All American Girl,2002,tt0283877,10726
1453880,Vampire in Brooklyn,1995,tt0114825,12158
1309715,Proud Mary,2018,tt6421110,442064
1180729,In Fabric,2018,tt7464188,475220
1509444,Paws of Fury: The Legend of Hank,2022,tt4428398,366672
133079,Area 51,2015,tt1519461,57876
1856742,The Friend,2025,tt18108824,1186563
1708161,Milli Vanilli,2023,tt14666592,1123287
1652330,The Ledge,2022,tt6805938,924482
1585762,Spell,2020,tt10736580,621151
1486532,Echo in the Canyon,2019,tt8884430,549551
1661857,From Dusk Till Dawn 2: Texas Blood Money,1999,tt0120860,12095
1416819,The Rugrats Movie,1998,tt0134067,14444
1415304,The Relic,1997,tt0120004,11015
1180000,Imagine That,2009,tt0780567,19724
1664910,Scooby-Doo! and the Loch Ness Monster,2004,tt0418141,12902
1280703,O,2001,tt0184791,11065
1274241,Night Falls on Manhattan,1997,tt0119783,46027
1204882,King Kong,1976,tt0074751,10730
1152908,Grease 2,1982,tt0084021,9037
525860,Comedy Central Roast of Charlie Sheen,2011,tt1985970,296192
1592787,The Killing of Kenneth Chamberlain,2021,tt8906722,647557
1455451,Venom,2005,tt0428251,7182
1300314,Phantoms,1998,tt0119891,9827
1273922,Nick of Time,1995,tt0113972,2086
117669,Afflicted,2014,tt2309961,210947
1372390,Teaching Mrs. Tingle,1999,tt0133046,10342
1367685,Switchback,1997,tt0119210,10871
525867,Comedy Central Roast of James Franco,2013,tt3098812,300302
122346,All About the Benjamins,2002,tt0278295,13950
119524,Ain't Them Bodies Saints,2013,tt2388637,152748
1815061,The Wedding Banquet,2025,tt32214413,1278827
1427920,The Wild Thornberrys Movie,2002,tt0282120,14317
1327360,Rugrats in Paris: The Movie,2000,tt0213203,16340
