,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
77,1257219,tt0317919,Mission: Impossible III,Mission: Impossible III,Mission: Impossible III,movie,2006,2006,0,126,"['Action', 'Adventure', 'Thriller']",6.9,416488,['nm0009190'],"['nm0476064', 'nm0649460', 'nm0009190', 'nm0312367']"
78,1252065,tt0120912,Men in Black II,Men in Black II,Men in Black II,movie,2002,2002,0,88,"['Action', 'Adventure', 'Comedy']",6.2,422966,['nm0001756'],"['nm0192384', 'nm0330565', 'nm0266673']"
79,1162636,tt0167190,Hellboy,Hellboy,Hellboy,movie,2004,2004,0,122,"['Action', 'Adventure', 'Fantasy']",6.9,364285,['nm0868219'],"['nm0868219', 'nm1486009', 'nm0586005']"
80,1144084,tt0217505,Gangs of New York,Gangs of New York,Gangs of New York,movie,2002,2002,0,167,"['Crime', 'Drama']",7.5,493208,['nm0000217'],"['nm0168379', 'nm0001873', 'nm0518836']"
81,179136,tt0369339,Collateral,Collateral,Collateral,movie,2004,2004,0,120,"['Action', 'Crime', 'Drama']",7.5,456219,['nm0000520'],['nm0064181']
82,178157,tt1060277,Cloverfield,Cloverfield,Cloverfield,movie,2008,2008,0,85,"['Action', 'Horror', 'Sci-Fi']",7.0,437314,['nm0716257'],['nm1206844']
83,128081,tt1229340,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,movie,2013,2013,0,119,['Comedy'],6.3,198982,['nm0570912'],"['nm0002071', 'nm0570912']"
84,123368,tt3640424,Allied,Allied,Allied,movie,2016,2016,0,124,"['Action', 'Drama', 'Romance']",7.1,177127,['nm0000709'],['nm1140275']
85,113468,tt0212720,A.I. Artificial Intelligence,A.I. Artificial Intelligence,A.I. Artificial Intelligence,movie,2001,2001,0,146,"['Adventure', 'Drama', 'Sci-Fi']",7.2,333772,['nm0000229'],"['nm0000735', 'nm0914668', 'nm0000229']"
86,1583803,tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,movie,2023,2023,0,99,"['Action', 'Adventure', 'Animation']",7.2,75317,"['nm6676487', 'nm5859016']","['nm0736622', 'nm1698571', 'nm6676487', 'nm2021624', 'nm1658012', 'nm1895993', 'nm0481990', 'nm0247653']"
87,1454103,tt0259711,Vanilla Sky,Vanilla Sky,Vanilla Sky,movie,2001,2001,0,136,"['Fantasy', 'Mystery', 'Romance']",6.9,300582,['nm0001081'],"['nm0024622', 'nm0317834', 'nm0001081']"
88,1439256,tt1055369,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,movie,2009,2009,0,149,"['Action', 'Adventure', 'Sci-Fi']",6.0,446154,['nm0000881'],"['nm0472567', 'nm0649460', 'nm0476064']"
89,1405145,tt0361862,The Machinist,The Machinist,The Machinist,movie,2004,2004,0,101,"['Drama', 'Thriller']",7.6,433533,['nm0026442'],['nm0466925']
90,1399403,tt0399201,The Island,The Island,The Island,movie,2005,2005,0,136,"['Action', 'Sci-Fi', 'Thriller']",6.8,336197,['nm0000881'],"['nm0654100', 'nm0476064', 'nm0649460']"
91,1347616,tt0490215,Silence,Silence,Silence,movie,2016,2016,0,161,"['Drama', 'History']",7.2,129646,['nm0000217'],"['nm0168379', 'nm0000217', 'nm0256870']"
92,1335911,tt0332379,School of Rock,School of Rock,School of Rock,movie,2003,2003,0,109,"['Comedy', 'Music']",7.2,349424,['nm0000500'],['nm0925234']
93,1323952,tt0257044,Road to Perdition,Road to Perdition,Road to Perdition,movie,2002,2002,0,117,"['Crime', 'Drama', 'Thriller']",7.6,295831,['nm0005222'],"['nm0172523', 'nm0713479', 'nm0783100']"
94,1299264,tt0396171,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,movie,2006,2006,0,147,"['Crime', 'Drama', 'Fantasy']",7.5,274968,['nm0878756'],"['nm0001949', 'nm0251536', 'nm0878756', 'nm0845752']"
95,1153877,tt1375670,Grown Ups,Grown Ups,Grown Ups,movie,2010,2010,0,102,['Comedy'],6.0,302446,['nm0240797'],"['nm0001191', 'nm0937748']"
96,1684218,tt8323668,Jerry & Marge Go Large,Jerry and Marge Go Large,Jerry & Marge Go Large,movie,2022,2022,0,96,"['Biography', 'Comedy', 'Drama']",6.9,31959,['nm0291205'],"['nm2321019', 'nm0178589']"
97,1360238,tt0838283,Step Brothers,Step Brothers,Step Brothers,movie,2008,2008,0,98,['Comedy'],6.9,334219,['nm0570912'],"['nm0002071', 'nm0570912', 'nm0000604']"
98,1295162,tt1179904,Paranormal Activity,Paranormal Activity,Paranormal Activity,movie,2007,2007,0,86,"['Horror', 'Mystery']",6.3,267256,['nm2305431'],['nm2305431']
99,1294066,tt0258000,Panic Room,Panic Room,Panic Room,movie,2002,2002,0,112,"['Crime', 'Drama', 'Thriller']",6.8,309522,['nm0000399'],['nm0462895']
100,1188732,tt1205537,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,movie,2014,2014,0,105,"['Action', 'Drama', 'Thriller']",6.2,141460,['nm0000110'],"['nm3092414', 'nm0462895', 'nm0002007']"
101,1153235,tt4062536,Green Room,Green Room,Green Room,movie,2016,2015,0,95,"['Crime', 'Horror', 'Music']",7.0,149647,['nm1099918'],['nm1099918']
102,1150965,tt0452623,Gone Baby Gone,Gone Baby Gone,Gone Baby Gone,movie,2007,2007,0,114,"['Crime', 'Drama', 'Mystery']",7.6,304281,['nm0000255'],"['nm0000255', 'nm0830760', 'nm1212331']"
103,1105842,tt0486822,Disturbia,Disturbia,Disturbia,movie,2007,2007,0,105,"['Crime', 'Drama', 'Mystery']",6.8,268831,['nm0142286'],"['nm0484907', 'nm0255296']"
104,187566,tt1528854,Daddy's Home,Daddy's Home,Daddy's Home,movie,2015,2015,0,96,"['Comedy', 'Family']",6.2,135974,['nm1890845'],"['nm0122602', 'nm1890845', 'nm1898234']"
105,11420,tt0337563,13 Going on 30,13 Going on 30,13 Going on 30,movie,2004,2004,0,98,"['Comedy', 'Fantasy', 'Romance']",6.3,238674,['nm0935095'],"['nm0326092', 'nm0951135']"
106,1439251,tt0418279,Transformers,Transformers,Transformers,movie,2007,2007,0,144,"['Action', 'Adventure', 'Sci-Fi']",7.1,704052,['nm0000881'],"['nm0649460', 'nm0476064', 'nm0736966']"
107,1419899,tt0472181,The Smurfs,The Smurfs,The Smurfs,movie,2011,2011,0,103,"['Adventure', 'Animation', 'Comedy']",5.4,102130,['nm0331532'],"['nm0826425', 'nm0918955', 'nm0771065', 'nm0740115', 'nm0678963']"
108,1404875,tt0380510,The Lovely Bones,The Lovely Bones,The Lovely Bones,movie,2009,2009,0,135,"['Drama', 'Fantasy', 'Thriller']",6.6,188062,['nm0001392'],"['nm0909638', 'nm0101991', 'nm0001392', 'nm1451254']"
109,1404304,tt0398165,The Longest Yard,The Longest Yard,The Longest Yard,movie,2005,2005,0,113,"['Comedy', 'Crime', 'Sport']",6.4,205998,['nm0781842'],"['nm0748665', 'nm0944003', 'nm1417242']"
110,1372772,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,movie,2016,2016,0,112,"['Action', 'Adventure', 'Comedy']",5.9,104352,['nm1757777'],"['nm0032227', 'nm0625858', 'nm0481990', 'nm0247653']"
111,1169953,tt0450278,Hostel,Hostel,Hostel,movie,2006,2005,0,94,['Horror'],5.9,200324,['nm0744834'],['nm0744834']
112,173068,tt0299658,Chicago,Chicago,Chicago,movie,2002,2002,0,113,"['Comedy', 'Crime', 'Musical']",7.2,252291,['nm0551128'],"['nm0174374', 'nm0002080', 'nm0247939', 'nm0914362']"
113,13197,tt0389722,30 Days of Night,30 Days of Night,30 Days of Night,movie,2007,2007,0,113,"['Horror', 'Thriller']",6.6,197149,['nm1720541'],"['nm0632051', 'nm0064181', 'nm0625198', 'nm2615528']"
114,1310542,tt0110912,Pulp Fiction,Pulp Fiction,Pulp Fiction,movie,1994,1994,0,154,"['Crime', 'Drama']",8.8,2367400,['nm0000233'],"['nm0000233', 'nm0000812']"
115,1151385,tt0119217,Good Will Hunting,Good Will Hunting,Good Will Hunting,movie,1997,1997,0,126,"['Drama', 'Romance']",8.3,1160164,['nm0001814'],"['nm0000354', 'nm0000255']"
116,1391084,tt0964517,The Fighter,The Fighter,The Fighter,movie,2010,2010,0,116,"['Action', 'Biography', 'Drama']",7.8,401919,['nm0751102'],"['nm2565612', 'nm0848496', 'nm2053216', 'nm0798788']"
117,1481078,tt0196229,Zoolander,Zoolander,Zoolander,movie,2001,2001,0,90,['Comedy'],6.5,309639,['nm0001774'],"['nm0766153', 'nm0001774', 'nm0357453']"
118,1374079,tt0103064,Terminator 2: Judgment Day,Terminator 2: Judgment Day,Terminator 2: Judgment Day,movie,1991,1991,0,137,"['Action', 'Adventure', 'Sci-Fi']",8.6,1249904,['nm0000116'],"['nm0000116', 'nm0936537']"
119,1336805,tt0329575,Seabiscuit,Seabiscuit,Seabiscuit,movie,2003,2003,0,140,"['Drama', 'History', 'Sport']",7.3,79025,['nm0002657'],"['nm1227780', 'nm0002657']"
120,1286007,tt0285823,Once Upon a Time in Mexico,Once Upon a Time in Mexico,Once Upon a Time in Mexico,movie,2003,2003,0,102,"['Action', 'Crime', 'Thriller']",6.3,174628,['nm0001675'],['nm0001675']
121,1148809,tt0172495,Gladiator,Gladiator,Gladiator,movie,2000,2000,0,155,"['Action', 'Adventure', 'Drama']",8.5,1791883,['nm0000631'],"['nm0291905', 'nm0517589', 'nm0629933']"
122,1133772,tt0308644,Finding Neverland,Finding Neverland,Finding Neverland,movie,2004,2004,0,106,"['Biography', 'Drama', 'Family']",7.6,215607,['nm0286975'],"['nm0460632', 'nm1341735']"
123,1132806,tt0137523,Fight Club,Fight Club,Fight Club,movie,1999,1999,0,139,"['Crime', 'Drama', 'Thriller']",8.8,2512324,['nm0000399'],"['nm0657333', 'nm0880243']"
